sno,item_id,dish_name,image,cat_name,URL1,URL2,URL3,copyright
130,f664620c4ecd68b33f9b2d7800e2b266_79b1711ca3213c77f95d4b8778cffb8e,Gula melaka soy cendol,0,Local Favorites,https://c1.wallpaperflare.com/preview/622/356/20/cendol-chendol-sugar-gula-melaka.jpg,https://live.staticflickr.com/4102/4885194136_333d2f277a_b.jpg,https://live.staticflickr.com/4075/4882565664_385de1ba2e_b.jpg,0
131,f664620c4ecd68b33f9b2d7800e2b266_bdb0bd79e2b31cfd51ffff969042a4ee,Goya melaka soy cendol n cincau,0,Local Favorites,https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Chendol_at_Cendol_Melaka%2C_Changi_Village.jpg/1200px-Chendol_at_Cendol_Melaka%2C_Changi_Village.jpg,https://i.pinimg.com/originals/d1/06/f4/d106f495525ce54cbc5763b2fefc9aa0.jpg,https://i.pinimg.com/originals/e6/a2/a3/e6a2a36cb3e39fb8367570b35bca3ee5.jpg,1
132,f664620c4ecd68b33f9b2d7800e2b266_bf20b058b5213d6c71da4a5595bcf99a,soy cendol n red bean,0,Local Favorites,https://c1.wallpaperflare.com/preview/819/722/462/red-bean-pattern-texture-nature.jpg,https://live.staticflickr.com/7847/40323137173_3165b138c3_b.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/3/34/Red_Bean_Ice_in_Malt_Soy_Milk.jpg/4140px-Red_Bean_Ice_in_Malt_Soy_Milk.jpg,0
133,f664620c4ecd68b33f9b2d7800e2b266_f3b821a11cd6192e8862960604ecdba5,Gula melaka soy cendol n red bean,0,Local Favorites,https://upload.wikimedia.org/wikipedia/commons/1/18/Orak-arik_tempe.JPG,https://upload.wikimedia.org/wikipedia/commons/b/b8/Sambal_goreng_tempe.JPG,https://upload.wikimedia.org/wikipedia/commons/2/21/Indonesian_fried_tempeh.JPG,0
134,f664620c4ecd68b33f9b2d7800e2b266_ec33da912daadec3e2c5f85c8a64541a,Soy cincau,0,Local Favorites,https://live.staticflickr.com/2795/4274114060_6b2b173da4_b.jpg,https://upload.wikimedia.org/wikipedia/commons/1/18/Orak-arik_tempe.JPG,https://upload.wikimedia.org/wikipedia/commons/8/89/Es_Shanghai.jpg,0
135,f664620c4ecd68b33f9b2d7800e2b266_ad2623076c254ecfe57e9279137cc2a4,Soy milk,0,Local Favorites,https://c1.wallpaperflare.com/preview/759/159/783/beans-beverage-calcium-closeup.jpg,https://get.pxhere.com/photo/beans-beverage-calcium-closeup-drink-food-photography-fresh-glass-grain-health-healthy-ingredient-macro-milk-natural-nutrition-organic-protein-raw-refreshment-seed-soy-soy-milk-soya-soybean-soymilk-vegetarian-wooden-wooden-bowl-superfood-plant-milk-hemp-milk-vegetarian-food-commodity-1438485.jpg,https://live.staticflickr.com/973/26994257677_b306e52239_b.jpg,0
136,f664620c4ecd68b33f9b2d7800e2b266_02d616fe3a64387e4b8c0f2a5b99f0c5,Soy milk with ice cream,0,Local Favorites,https://live.staticflickr.com/4141/4766881542_6645623cdf_b.jpg,https://upload.wikimedia.org/wikipedia/commons/d/da/Soy_milk_panna_cotta%2C_April_2008.jpg,https://get.pxhere.com/photo/cold-white-sweet-summer-ice-meal-food-macro-fresh-frozen-chocolate-milk-gourmet-snack-ice-cream-dessert-lunch-cuisine-cream-delicious-dairy-product-strawberry-icecream-fat-sugar-nutrition-tasty-melt-vanilla-sweetness-dairy-refreshing-taste-scoop-gelato-flavor-woman-thinking-ice-cream-scoop-chocolate-ice-cream-dondurma-frozen-dessert-neapolitan-ice-cream-1381448.jpg,0
137,f664620c4ecd68b33f9b2d7800e2b266_0222d53d72dc8564969840e0b8175e3b,Iced lemon coke,0,Soda and Floats,https://get.pxhere.com/photo/sweet-glass-summer-coke-splash-lemonade-drink-delicious-lemon-cocktail-coca-cola-refreshment-cola-frisch-soft-drink-ice-cubes-erfrischungsgetr-nk-cocktail-garnish-cuba-libre-1376960.jpg,https://live.staticflickr.com/3023/2913895886_702b72f76f_z.jpg,https://c1.wallpaperflare.com/preview/312/533/260/coca-cola-cola-coke-brand.jpg,0
138,f664620c4ecd68b33f9b2d7800e2b266_1a5e06a4081a32f3a887f209fc060c79,Iced coke float,0,Soda and Floats,https://upload.wikimedia.org/wikipedia/commons/a/a8/Coke_float.jpg,https://c0.wallpaperflare.com/preview/814/366/495/beverage-carbonated-drink-coca-cola-cola.jpg,https://live.staticflickr.com/2239/2288231043_9074c210df_b.jpg,0
139,f664620c4ecd68b33f9b2d7800e2b266_79ad3dc2de85c607d1acf1a163e12a32,Ice root beer float,0,Soda and Floats,https://storage.needpix.com/rsynced_images/root-beer-float.jpg,https://upload.wikimedia.org/wikipedia/commons/e/e2/Root_Beer_Float.jpg,https://live.staticflickr.com/8334/8120996413_a17413c20f_c.jpg,0
